GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthTokenFilter,5,71,1,7,2,17,1,7,0,4
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthEntryPointJwt,0,55,0,0,0,13,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.security.jwt,JwtUtils,7,85,0,0,2,22,0,5,0,5
yoga-app,com.openclassrooms.starterjwt.models,User.UserBuilder,38,71,4,4,0,1,5,10,1,10
yoga-app,com.openclassrooms.starterjwt.models,Teacher.TeacherBuilder,12,42,0,0,0,1,1,7,1,7
yoga-app,com.openclassrooms.starterjwt.models,Session.SessionBuilder,18,63,0,0,0,1,1,10,1,10
yoga-app,com.openclassrooms.starterjwt.models,User,141,138,28,10,0,15,27,16,8,16
yoga-app,com.openclassrooms.starterjwt.models,Session,68,109,13,1,0,14,14,16,7,16
yoga-app,com.openclassrooms.starterjwt.models,Teacher,63,75,13,1,0,11,13,11,6,11
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsServiceImpl,0,39,0,0,0,13,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl,21,57,5,1,5,14,4,13,1,13
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl.UserDetailsImplBuilder,19,44,0,0,0,1,2,7,2,7
yoga-app,com.openclassrooms.starterjwt.exception,NotFoundException,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.exception,BadRequestException,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.controllers,UserController,0,71,0,6,0,20,0,6,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,TeacherController,0,43,0,2,0,12,0,4,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,SessionController,4,141,0,4,2,34,0,11,0,9
yoga-app,com.openclassrooms.starterjwt.controllers,AuthController,0,111,1,3,0,31,1,4,0,3
yoga-app,com.openclassrooms.starterjwt.payload.request,SignupRequest,0,31,0,0,0,6,0,9,0,9
yoga-app,com.openclassrooms.starterjwt.payload.request,LoginRequest,0,17,0,0,0,7,0,5,0,5
yoga-app,com.openclassrooms.starterjwt.payload.response,JwtResponse,28,45,0,0,1,15,7,8,7,8
yoga-app,com.openclassrooms.starterjwt.payload.response,MessageResponse,4,9,0,0,2,4,1,2,1,2
yoga-app,com.openclassrooms.starterjwt.mapper,SessionMapperImpl,16,200,8,14,7,41,8,11,0,8
yoga-app,com.openclassrooms.starterjwt.mapper,TeacherMapperImpl,8,117,4,8,4,29,4,7,0,5
yoga-app,com.openclassrooms.starterjwt.mapper,SessionMapper,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.mapper,UserMapperImpl,8,144,4,8,4,35,4,7,0,5
yoga-app,com.openclassrooms.starterjwt.services,SessionService,2,152,1,11,0,30,1,16,0,11
yoga-app,com.openclassrooms.starterjwt.services,UserService,0,19,0,0,0,6,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.services,TeacherService,0,18,0,0,0,5,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.security,WebSecurityConfig,0,71,0,0,0,14,0,6,0,6
